date,motelId,LoSa,price
08-04-05-2016,0000004,MX,0.58
19-03-05-2016,0000001,CA,1.02
18-03-11-2015,0000002,MX,1.29
04-23-04-2016,0000008,MX,1.87
12-21-04-2016,0000003,US,0.35
16-27-01-2016,0000006,US,0.35
03-19-04-2016,0000008,US,1.49
21-26-01-2016,0000008,CA,1.85
18-26-01-2016,0000005,CA,1.88
12-12-07-2016,0000009,CA,1.25
20-11-07-2016,0000006,MX,0.00
07-08-07-2016,0000008,CA,1.03
02-25-10-2015,0000001,MX,1.05
02-05-07-2016,0000001,US,1.73
10-19-01-2016,0000006,MX,0.00
12-18-01-2016,0000005,CA,0.00
23-01-07-2016,0000002,CA,1.43
18-20-10-2015,0000010,MX,0.00
08-09-04-2016,0000002,US,0.85
14-08-04-2016,0000007,CA,2.00
03-14-01-2016,0000001,MX,0.59
23-14-10-2015,0000004,CA,0.74
08-01-04-2016,0000003,CA,1.39
08-30-03-2016,0000008,US,2.03
11-28-03-2016,0000009,US,2.09
20-27-06-2016,0000005,US,0.50
22-22-06-2016,0000008,MX,1.81
18-06-01-2016,0000004,CA,0.47
23-07-10-2015,0000009,US,0.32
22-02-01-2016,0000008,CA,0.79
17-01-01-2016,0000010,CA,0.31
11-06-10-2015,0000009,US,0.92
03-27-12-2015,0000010,US,0.93
06-29-09-2015,0000009,US,1.00
09-27-09-2015,0000002,MX,0.34
14-04-06-2016,0000001,MX,1.09
13-03-06-2016,0000008,US,0.00
16-30-05-2016,0000002,MX,0.76
08-29-05-2016,0000007,CA,1.11
14-19-09-2015,0000008,US,1.04
17-14-09-2015,0000008,CA,1.04
17-14-09-2015,0000008,MX,1.05
17-02-09-2015,0000001,CA,0.91
06-23-03-2016,0000005,US,0.00
02-17-03-2016,0000009,CA,1.36
22-14-03-2016,0000002,CA,1.47
01-12-03-2016,0000003,MX,0.80
00-04-12-2015,0000008,US,0.67
12-20-11-2015,0000010,CA,0.36
20-28-08-2015,0000010,MX,1.48
03-27-08-2015,0000005,CA,0.63
02-27-08-2015,0000010,MX,0.84
09-26-08-2015,0000004,CA,1.86
14-17-05-2016,0000010,US,1.68
08-10-05-2016,0000002,CA,0.00
18-07-05-2016,0000008,CA,0.45
02-21-08-2015,0000001,MX,0.54
16-14-08-2015,0000009,US,1.48
04-09-08-2015,0000003,US,0.65
14-08-03-2016,0000001,MX,1.24
01-10-11-2015,0000005,CA,0.33
00-29-02-2016,0000002,US,0.38
21-07-11-2015,0000008,MX,2.03
15-22-02-2016,0000003,US,0.00
02-17-02-2016,0000008,CA,0.60
17-11-02-2016,0000006,MX,1.12
16-11-02-2016,0000010,MX,0.34
16-01-02-2016,0000006,MX,1.61
00-01-05-2016,0000001,MX,1.34
06-31-07-2016,0000001,US,2.05
15-23-07-2016,0000007,CA,1.45
19-20-07-2016,0000008,US,0.63
12-17-07-2016,0000004,CA,1.72
21-15-07-2016,0000005,MX,0.52
15-27-01-2016,0000003,US,0.00
15-27-01-2016,0000003,MX,0.56
22-22-01-2016,0000003,CA,1.87
18-30-10-2015,0000010,US,0.42
02-25-10-2015,0000003,US,1.50
19-05-07-2016,0000004,CA,0.00
10-24-10-2015,0000010,CA,0.97
05-24-10-2015,0000009,US,1.39
12-16-01-2016,0000003,MX,0.79
04-19-10-2015,0000007,MX,1.13
09-12-01-2016,0000001,US,1.34
16-10-01-2016,0000010,MX,0.92
10-14-10-2015,0000006,MX,1.03
02-06-04-2016,0000003,CA,1.55
01-02-04-2016,0000009,CA,1.85
03-31-03-2016,0000002,CA,1.06
01-30-03-2016,0000004,US,1.31
05-25-03-2016,0000003,MX,0.00
11-24-03-2016,0000002,MX,1.04
09-28-06-2016,0000001,US,1.10
03-23-06-2016,0000004,US,0.57
05-18-06-2016,0000004,MX,0.70
05-06-10-2015,0000007,CA,1.29
13-12-06-2016,0000003,US,0.00
04-26-12-2015,0000004,US,1.09
19-26-09-2015,0000004,MX,1.96
19-24-09-2015,0000001,US,1.11
09-12-06-2016,0000001,CA,0.90
04-10-06-2016,0000004,MX,0.54
03-17-09-2015,0000008,US,0.45
05-14-09-2015,0000002,CA,0.00
04-11-09-2015,0000005,CA,1.92
13-03-09-2015,0000007,CA,0.85
06-19-03-2016,0000007,US,0.85
15-18-12-2015,0000005,MX,0.55
17-17-12-2015,0000004,US,1.09
20-16-12-2015,0000007,US,0.45
08-13-12-2015,0000010,US,1.94
22-11-12-2015,0000007,MX,0.45
02-11-12-2015,0000002,CA,0.44
21-05-12-2015,0000005,US,1.88
07-29-11-2015,0000008,MX,1.04
15-27-11-2015,0000005,CA,0.50
01-25-11-2015,0000006,CA,0.58
09-20-11-2015,0000010,MX,1.97
02-20-11-2015,0000007,US,0.97
12-18-11-2015,0000001,US,0.00
21-15-11-2015,0000001,US,1.38
13-15-11-2015,0000003,MX,0.00
01-30-08-2015,0000005,US,0.96
04-25-08-2015,0000001,CA,1.85
18-10-03-2016,0000004,CA,1.07
22-05-03-2016,0000003,CA,1.01
10-27-02-2016,0000006,MX,0.59
12-26-02-2016,0000005,MX,1.48
04-22-02-2016,0000009,CA,1.03
08-04-11-2015,0000007,CA,0.00
23-27-04-2016,0000009,US,1.06
18-25-04-2016,0000006,MX,0.58
00-26-07-2016,0000005,CA,1.36
18-19-04-2016,0000010,US,0.85
10-29-01-2016,0000010,CA,0.83
18-13-07-2016,0000003,US,0.61
02-26-01-2016,0000010,US,0.37
15-31-10-2015,0000005,MX,0.91
19-30-10-2015,0000009,US,0.00
12-11-07-2016,0000001,US,0.93
14-09-07-2016,0000010,MX,0.73
00-26-10-2015,0000001,US,2.00
16-06-07-2016,0000006,CA,0.98
16-06-07-2016,0000006,MX,0.00
20-16-04-2016,0000009,MX,1.47
06-21-10-2015,0000010,MX,1.45
15-12-04-2016,0000006,CA,1.02
06-07-04-2016,0000010,US,1.14
23-14-10-2015,0000004,MX,1.54
22-14-10-2015,0000003,US,1.26
17-04-04-2016,0000007,MX,1.02
02-09-01-2016,0000006,CA,0.78
03-10-10-2015,0000010,MX,1.39
21-22-06-2016,0000001,US,1.72
14-08-10-2015,0000007,US,0.00
19-04-10-2015,0000004,MX,0.00
06-25-12-2015,0000001,MX,2.05
14-26-09-2015,0000003,MX,1.75
20-08-06-2016,0000005,MX,0.00
18-08-06-2016,0000004,CA,0.47
17-03-06-2016,0000003,CA,1.48
12-03-06-2016,0000010,CA,2.01
02-03-06-2016,0000008,US,0.75
06-29-05-2016,0000003,CA,2.01
01-29-05-2016,0000002,CA,0.33
19-21-09-2015,0000006,CA,1.76
16-13-09-2015,0000001,CA,0.60
20-06-09-2015,0000005,MX,0.31
13-04-09-2015,0000001,MX,1.17
18-23-03-2016,0000010,CA,1.69
15-22-12-2015,0000004,MX,1.34
05-19-03-2016,0000009,MX,1.60
00-18-03-2016,0000004,MX,1.51
02-13-03-2016,0000004,MX,1.75
14-13-12-2015,0000009,MX,1.71
05-02-12-2015,0000004,CA,1.92
13-28-11-2015,0000008,CA,1.17
13-28-11-2015,0000009,CA,1.23
23-27-11-2015,0000007,MX,0.54
12-27-11-2015,0000001,CA,1.11
20-26-11-2015,0000005,US,2.00
05-24-05-2016,0000002,MX,1.23
23-30-08-2015,0000007,US,1.18
18-15-11-2015,0000002,CA,0.66
21-19-05-2016,0000003,MX,0.91
14-14-08-2015,0000010,MX,1.38
17-13-08-2015,0000004,MX,1.94
01-12-08-2015,0000002,US,1.74
21-04-03-2016,0000010,US,1.86
06-03-03-2016,0000002,MX,1.53
23-02-03-2016,0000008,US,0.49
17-11-11-2015,0000003,US,0.00
06-28-02-2016,0000009,CA,0.65
07-20-02-2016,0000006,CA,1.70
08-18-02-2016,0000003,US,0.00
03-09-02-2016,0000007,US,0.59
22-05-05-2016,0000005,US,1.13
23-03-11-2015,0000005,US,1.02
16-02-11-2015,0000009,CA,1.33
23-28-07-2016,0000004,US,1.84
00-27-04-2016,0000003,CA,1.72
21-26-04-2016,0000001,MX,1.37
07-24-04-2016,0000001,CA,1.60
09-23-04-2016,0000003,US,1.27
00-23-04-2016,0000010,MX,1.55
09-25-07-2016,0000010,US,0.79
08-25-07-2016,0000009,US,1.33
10-20-07-2016,0000010,MX,0.37
04-20-07-2016,0000003,MX,0.60
15-19-07-2016,0000007,US,1.83
17-22-01-2016,0000008,MX,0.00
05-31-10-2015,0000008,MX,0.31
13-09-07-2016,0000010,MX,0.36
15-27-10-2015,0000005,US,0.79
15-27-10-2015,0000005,CA,1.33
19-23-10-2015,0000001,US,0.77
13-16-04-2016,0000008,MX,0.36
02-02-07-2016,0000002,MX,0.55
08-15-04-2016,0000010,CA,1.50
04-13-04-2016,0000002,MX,0.92
15-12-04-2016,0000006,US,0.66
03-19-10-2015,0000007,US,0.37
14-18-10-2015,0000002,CA,1.82
09-15-01-2016,0000002,MX,0.66
22-14-01-2016,0000008,US,1.38
22-16-10-2015,0000003,US,1.03
22-14-10-2015,0000003,CA,1.75
20-13-10-2015,0000009,US,0.93
08-04-04-2016,0000002,MX,0.87
03-11-10-2015,0000010,US,1.03
23-25-06-2016,0000004,US,1.74
16-06-10-2015,0000002,CA,1.47
11-03-10-2015,0000002,CA,0.76
10-30-09-2015,0000009,CA,0.68
12-10-06-2016,0000006,CA,0.39
16-07-06-2016,0000008,CA,1.11
16-04-06-2016,0000003,MX,1.34
06-25-05-2016,0000001,US,0.33
03-23-09-2015,0000009,MX,1.42
06-20-09-2015,0000003,US,1.44
03-17-09-2015,0000008,CA,1.04
02-22-03-2016,0000002,US,0.72
06-18-03-2016,0000007,US,0.61
12-15-03-2016,0000004,CA,0.00
16-20-12-2015,0000007,MX,2.01
14-12-12-2015,0000006,CA,1.80
02-10-12-2015,0000009,MX,0.85
01-09-12-2015,0000009,US,0.87
02-05-12-2015,0000002,CA,1.30
18-03-12-2015,0000005,CA,1.07
07-28-11-2015,0000004,CA,0.93
17-24-11-2015,0000006,CA,0.40
