date,MotelName,LoSa,max_price
2015-10-10 01:00:00.0,Moon Light Sun Sine Inn,CA,1.6954
2016-05-02 17:00:00.0,Moon Light Sun Sine Inn,CA,1.0502
2016-07-20 18:00:00.0,Moon Light Sun Sine Inn,CA,1.115
2016-05-26 16:00:00.0,Moon Light Sun Sine Inn,CA,1.4297
2016-04-18 22:00:00.0,Moon Light Sun Sine Inn,US,1.4819
2015-08-22 05:00:00.0,Moon Light Sun Sine Inn,MX,1.5259
2016-06-06 11:00:00.0,Moon Light Sun Sine Inn,MX,1.7833
2016-05-06 20:00:00.0,Moon Light Sun Sine Inn,MX,1.4001
2016-03-02 11:00:00.0,Moon Light Sun Sine Inn,US,0.9272
2016-04-03 19:00:00.0,Moon Light Sun Sine Inn,MX,1.8026
2016-04-27 13:00:00.0,Moon Light Sun Sine Inn,US,0.6186
2015-10-12 19:00:00.0,Moon Light Sun Sine Inn,US,2.0199
2015-08-26 08:00:00.0,Moon Light Sun Sine Inn,CA,1.042
2016-03-10 18:00:00.0,Moon Light Sun Sine Inn,US,0.5882
2016-01-07 22:00:00.0,Moon Light Sun Sine Inn,MX,1.2506
2015-08-21 07:00:00.0,Moon Light Sun Sine Inn,MX,1.6956
2015-12-01 12:00:00.0,Moon Light Sun Sine Inn,MX,1.4898
2015-11-30 21:00:00.0,Moon Light Sun Sine Inn,US,1.6572
2016-05-18 02:00:00.0,Moon Light Sun Sine Inn,MX,1.1882
2016-02-14 19:00:00.0,Moon Light Sun Sine Inn,MX,0.8927
2016-06-15 05:00:00.0,Moon Light Sun Sine Inn,MX,1.7753
2015-11-12 10:00:00.0,Moon Light Sun Sine Inn,US,1.9365
2015-12-21 09:00:00.0,Moon Light Sun Sine Inn,US,1.9833
2015-10-09 16:00:00.0,Moon Light Sun Sine Inn,MX,1.6792
2016-04-05 00:00:00.0,Moon Light Sun Sine Inn,MX,1.3922
2015-08-26 10:00:00.0,Moon Light Sun Sine Inn,US,1.8163
2016-05-06 13:00:00.0,Moon Light Sun Sine Inn,CA,1.361
2016-05-14 13:00:00.0,Moon Light Sun Sine Inn,US,1.7086
2015-09-03 17:00:00.0,Moon Light Sun Sine Inn,CA,1.2615
2015-08-26 23:00:00.0,Moon Light Sun Sine Inn,US,1.7493
2016-04-02 01:00:00.0,Moon Light Sun Sine Inn,CA,1.5799
2015-11-20 05:00:00.0,Moon Light Sun Sine Inn,US,1.3675
2016-06-08 06:00:00.0,Moon Light Sun Sine Inn,CA,1.7551
2015-12-18 10:00:00.0,Moon Light Sun Sine Inn,CA,1.6591
2016-05-13 15:00:00.0,Moon Light Sun Sine Inn,MX,1.6589
2015-08-17 01:00:00.0,Moon Light Sun Sine Inn,MX,0.5467
2016-03-13 02:00:00.0,Moon Light Sun Sine Inn,US,1.7512
2016-02-22 04:00:00.0,Moon Light Sun Sine Inn,US,1.5068
2016-04-27 19:00:00.0,Moon Light Sun Sine Inn,CA,1.8347
2016-03-28 02:00:00.0,Moon Light Sun Sine Inn,CA,1.6907
2016-02-22 18:00:00.0,Moon Light Sun Sine Inn,CA,1.8234
2015-12-06 06:00:00.0,Moon Light Sun Sine Inn,US,1.4824
2016-05-31 11:00:00.0,Moon Light Sun Sine Inn,CA,1.2288
2016-05-19 16:00:00.0,Moon Light Sun Sine Inn,US,1.7771
2016-01-08 20:00:00.0,Moon Light Sun Sine Inn,MX,1.5991
2016-02-16 16:00:00.0,Moon Light Sun Sine Inn,US,1.7895
2015-11-23 19:00:00.0,Moon Light Sun Sine Inn,CA,1.5528
2016-03-11 20:00:00.0,Moon Light Sun Sine Inn,MX,1.3781
2016-01-23 13:00:00.0,Moon Light Sun Sine Inn,MX,0.9515
2016-06-10 01:00:00.0,Moon Light Sun Sine Inn,US,1.0868
2016-01-31 02:00:00.0,Moon Light Sun Sine Inn,CA,1.0408
2015-12-16 01:00:00.0,Moon Light Sun Sine Inn,CA,1.4011
2015-10-18 15:00:00.0,Moon Light Sun Sine Inn,CA,1.889
2016-06-16 17:00:00.0,Moon Light Sun Sine Inn,US,1.834
2015-09-02 03:00:00.0,Moon Light Sun Sine Inn,US,1.3125
2016-04-02 08:00:00.0,Moon Light Sun Sine Inn,MX,0.7207
2016-05-15 01:00:00.0,Moon Light Sun Sine Inn,CA,1.6838
2016-02-21 02:00:00.0,Moon Light Sun Sine Inn,MX,1.9594
2015-09-18 12:00:00.0,Moon Light Sun Sine Inn,CA,1.6226
2015-12-05 16:00:00.0,Moon Light Sun Sine Inn,US,1.1748
2015-09-10 19:00:00.0,Moon Light Sun Sine Inn,MX,1.4686
2015-11-17 21:00:00.0,Moon Light Sun Sine Inn,US,1.6463
2016-03-29 04:00:00.0,Moon Light Sun Sine Inn,MX,1.4471
2015-12-09 01:00:00.0,Moon Light Sun Sine Inn,CA,1.6728
2016-02-23 05:00:00.0,Moon Light Sun Sine Inn,MX,1.8511
2015-12-20 13:00:00.0,Moon Light Sun Sine Inn,MX,0.6316
2015-12-30 15:00:00.0,Moon Light Sun Sine Inn,US,1.7732
2016-01-25 19:00:00.0,Moon Light Sun Sine Inn,US,1.6186
2015-10-30 19:00:00.0,Moon Light Sun Sine Inn,MX,1.8828
2016-02-16 09:00:00.0,Moon Light Sun Sine Inn,US,1.6751
2016-07-12 12:00:00.0,Moon Light Sun Sine Inn,US,1.8429
2016-05-18 20:00:00.0,Moon Light Sun Sine Inn,MX,1.1652
2015-10-11 21:00:00.0,Moon Light Sun Sine Inn,US,1.6376
2016-04-15 04:00:00.0,Moon Light Sun Sine Inn,US,1.5543
2016-02-05 06:00:00.0,Moon Light Sun Sine Inn,MX,1.5025
2015-09-20 09:00:00.0,Moon Light Sun Sine Inn,CA,1.5041
2016-04-21 14:00:00.0,Moon Light Sun Sine Inn,MX,1.826
2015-10-11 00:00:00.0,Moon Light Sun Sine Inn,US,1.2928
2015-12-15 02:00:00.0,Moon Light Sun Sine Inn,CA,1.7728
2016-06-25 03:00:00.0,Moon Light Sun Sine Inn,US,1.8968
2015-09-06 23:00:00.0,Moon Light Sun Sine Inn,CA,1.6443
2015-08-14 08:00:00.0,Moon Light Sun Sine Inn,MX,1.9934
